box_office,film_actor,film_director,film_name,film_theme,img,release_time,score
3.59亿,"宋芸桦,王大陆,李玉玺,简廷芮",陈玉珊,我的少女时代,"喜剧,爱情",https://p0.meituan.net/movie/618d5286b37acacb50ca82f6689632f7398261.jpg@464w_644h_1e_1c,2015-11-19,9.2
4.85亿,"陈都灵,欧豪,杨洋,马思纯",苏有朋,左耳,爱情,https://p0.meituan.net/movie/ca49a984656dc2d39bada121184403ba275535.jpg@464w_644h_1e_1c,2015-04-24,7.9
2.94亿,"刘富源,张伟,谭笑,万丹青",丁亮,熊出没之雪岭熊风,"动画,喜剧,冒险",https://p0.meituan.net/movie/fa4384396148c22b07947ffcb8fc63c52139738.jpg@464w_644h_1e_1c,2015-01-30,9.2
5.41亿,"丹尼尔·克雷格,克里斯托弗·沃尔兹,蕾雅·赛杜,本·威士肖",萨姆·门德斯,007：幽灵党,"动作,惊悚,冒险",https://p0.meituan.net/movie/4910e083f80d62dcf608fe6d95921f4d250536.jpg@464w_644h_1e_1c,2015-11-13,8.0
1.18亿,"Aamir,安努舒卡·莎玛,苏尚特·辛格·拉吉普特,桑杰·达特",拉吉库马尔·希拉尼,我的个神啊,"喜剧,爱情,奇幻",https://p0.meituan.net/movie/2ae67474b7896b59627f22108bcd70b4374209.jpg@464w_644h_1e_1c,2015-05-22,9.0
2.52亿,"郑恺,郭采洁,王传君,张艺兴",田羽生,前任2：备胎反击战,"喜剧,爱情",https://p1.meituan.net/movie/dd48fda2aeb88dd86f2534b77bebc1b11024122.jpg@464w_644h_1e_1c,2015-11-06,8.3
5.86亿,"马特·达蒙,杰西卡·查斯坦,克里斯汀·韦格,杰夫·丹尼尔斯",雷德利·斯科特,火星救援,"动作,冒险,科幻",https://p0.meituan.net/movie/973f792a7b52d0a0bbc1b9c569395324353650.jpg@464w_644h_1e_1c,2015-11-25,9.0
4.43亿,"凯特·布兰切特,莉莉·詹姆斯,理查德·麦登,斯特兰·斯卡斯加德",肯尼思·布拉纳,灰姑娘,"爱情,奇幻,冒险",https://p0.meituan.net/movie/a60aada0ca89970c0642a9823291d267206261.jpg@464w_644h_1e_1c,2015-03-13,8.5
24.40亿,"白百何,井柏然,姜武,金燕玲",许诚毅,捉妖记,"喜剧,奇幻,古装",https://p0.meituan.net/movie/07ff76fad57b70b4f863152cb8772dc27607409.jpg@464w_644h_1e_1c,2015-07-16,9.1
7.65亿,"马丁·弗瑞曼,理查德·阿米蒂奇,伊万杰琳·莉莉,伊恩·麦克莱恩",彼得·杰克逊,霍比特人3：五军之战,"动作,冒险,奇幻",https://p1.meituan.net/movie/c8620a8e896f2adfed214d0cfc836025318890.jpg@464w_644h_1e_1c,2015-01-23,9.1
9774万,"梁朝伟,章子怡,张震,赵本山",王家卫,一代宗师3D,"剧情,动作,传记",https://p0.meituan.net/movie/7b03a29ff76639b8b8449f6d23fbb931301654.jpg@464w_644h_1e_1c,2015-01-08,8.2
4.36亿,"皮埃尔·柯芬,皮埃尔·柯芬,桑德拉·布洛克,乔恩·哈姆",凯尔·巴尔达,小黄人大眼萌,"喜剧,动画,家庭",https://p0.meituan.net/movie/019966c21f3d4e7ea81b27034e37b4db224898.jpg@464w_644h_1e_1c,2015-09-13,8.9
5.61亿,"吴京,托尼·贾,张晋,古天乐",郑保瑞,杀破狼2,"剧情,动作,犯罪",https://p0.meituan.net/movie/048e8354f7af936be9b50370a6f976cf243066.jpg@464w_644h_1e_1c,2015-06-18,9.0
5.25亿,"克里斯·威廉姆斯,瑞恩·波特,斯科特·安第斯,T·J·米勒",唐·霍尔,超能陆战队,"动画,喜剧,动作",https://p1.meituan.net/movie/7d633fc3c0b4603b214ab762a1e0f470361756.jpg@464w_644h_1e_1c,2015-02-28,9.5
3.05亿,"邓超,段奕宏,郭涛,王珞丹",曹保平,烈日灼心,"剧情,犯罪,悬疑",https://p1.meituan.net/movie/859fb8f55bc71cdadd154e888ac644e7310617.jpg@464w_644h_1e_1c,2015-08-27,8.9
8.99亿,"冯小刚,张涵予,许晴,李易峰",管虎,老炮儿,"剧情,动作",https://p0.meituan.net/movie/05a8011cbe22ce1caa299539f459fd1d187078.jpg@464w_644h_1e_1c,2015-12-24,9.1
6750万,"祖晴,张琳,邓玉婷,梁颖",黄伟明,喜羊羊与灰太狼之羊年喜羊羊,"喜剧,动画",https://p0.meituan.net/movie/15e5db73d302d6e518f5603e54842736387823.jpg@464w_644h_1e_1c,2015-01-31,8.3
4.01亿,"王宝强,郭富城,张震,林志玲",陈凯歌,道士下山,"喜剧,冒险,奇幻",https://p0.meituan.net/movie/3fe3c5d847657e86e5a98615759beced304025.jpg@464w_644h_1e_1c,2015-07-03,6.6
6492万,"万国鹏,王婷,沈凯,徐小琴",尔冬升,我是路人甲,"剧情,喜剧",https://p0.meituan.net/movie/b6b94a4e7ee3ce99526e7aff4b38a18d302761.jpg@464w_644h_1e_1c,2015-07-02,8.2
2.48亿,"埃德加·拉米雷兹,卢克·布雷西,泰莉莎·帕尔墨,戴尔里·林多",埃里克松·科尔,极盗者,"动作,犯罪,运动",https://p1.meituan.net/movie/b8a6b0b27bdc633378ad047746bc4f49387554.jpg@464w_644h_1e_1c,2015-12-04,8.3
6.48亿,"俞白眉,邓超,孙俪,代乐乐",邓超,恶棍天使,"喜剧,爱情",https://p0.meituan.net/movie/d8115380c131e5fa3859196bbb949f41387231.jpg@464w_644h_1e_1c,2015-12-24,8.0
2.15亿,"刘德华,井柏然,梁家辉,吴君如",彭三源,失孤,剧情,https://p1.meituan.net/movie/adcd92daa20628035b145b5be3275176311340.jpg@464w_644h_1e_1c,2015-03-20,8.3
2.15亿,"杨幂,鹿晗,王景春,朱亚文",安相勋,我是证人,"悬疑,犯罪,惊悚",https://p0.meituan.net/movie/98e4d97876f86265d149ce56c2be7143382581.jpg@464w_644h_1e_1c,2015-10-30,8.4
2.10亿,"陆剑青,张学友,张家辉,余文乐",梁乐民,赤道,"动作,悬疑,犯罪",https://p0.meituan.net/movie/0e133684a9a98297c921fd184bc031bd349437.jpg@464w_644h_1e_1c,2015-04-30,7.3
2543万,"周星驰,黄圣依,元华,元秋",周星驰,功夫3D,"喜剧,动作,犯罪",https://p0.meituan.net/movie/b43dfc1d0e5f9934b750ea8de4bcacd4293593.jpg@464w_644h_1e_1c,2015-01-15,9.3
3.22亿,"杨子姗,白客,陈柏霖,马天宇",易小星,万万没想到,"喜剧,奇幻,古装",https://p0.meituan.net/movie/b221242d07a4fc51f4886e3040a44cfd431726.jpg@464w_644h_1e_1c,2015-12-18,7.9
9723万,"罗纳尔多·德尔·卡门,艾米·波勒,菲利丝·史密斯,敏迪·卡灵",彼特·道格特,头脑特工队,"动画,喜剧,家庭",https://p0.meituan.net/movie/640c310afb07dbb0004d5a0016bf30b3602570.jpg@464w_644h_1e_1c,2015-10-06,9.0
5.30亿,"八木龙一,水田山葵,刘纯燕,妻夫木聪",山崎贵,哆啦A梦：伴我同行,"剧情,喜剧,动画",https://p1.meituan.net/movie/dc8287764ae000458eee747fc5b91784141583.jpg@464w_644h_1e_1c,2015-05-28,9.0
9945万,"本·威士肖,妮可·基德曼,休·博纳维尔,莎莉·霍金斯",保罗·金,帕丁顿熊,"喜剧,动画,家庭",https://p1.meituan.net/movie/459f8cb5dc6884a33183cc4e93b1aa071305194.jpg@464w_644h_1e_1c,2015-03-05,9.0
6.30亿,"道恩·强森,卡拉·古奇诺,亚历珊德拉·达达里奥,艾恩·格拉法德",布拉德·佩顿,末日崩塌,"动作,冒险,灾难",https://p1.meituan.net/movie/b00e92a91d064e18a82b6eecf3c20655331172.jpg@464w_644h_1e_1c,2015-06-02,9.1
1.02亿,"杰森·克拉克,乔什·布洛林,约翰·浩克斯,罗宾·怀特",巴塔萨·科马库,绝命海拔,"剧情,冒险,传记",https://p1.meituan.net/movie/13561bdf842a8cae0486b731e6891c10261696.jpg@464w_644h_1e_1c,2015-11-03,8.2
3828万,"陈诚,赵粤,戴萌,赵今麦",陈诚,巴啦啦小魔仙之魔箭公主,"奇幻,冒险,动作",https://p0.meituan.net/movie/a082ea58ed00014f7e4eeebc2f0d1f281045636.jpg@464w_644h_1e_1c,2015-10-01,7.9
4549万,"陆锦辉,陆双,祖晴,陈志荣",陆锦明,猪猪侠之终极决战,"喜剧,动画,冒险",https://p1.meituan.net/movie/4cdfd16db2af762ef49d6b73f1128648243616.jpg@464w_644h_1e_1c,2015-07-10,8.5
1.20亿,"亚当·桑德勒,安迪·萨姆伯格,赛琳娜·戈麦斯,凯文·詹姆斯",格恩迪·塔塔科夫斯基,精灵旅社2,"动画,喜剧,家庭",https://p1.meituan.net/movie/4bb1ea9895febc6f1ab3b27ea160b6a3325467.jpg@464w_644h_1e_1c,2015-10-27,9.0
2.83亿,"拉娜·沃卓斯基,查宁·塔图姆,米拉·库尼斯,道格拉斯·布斯",莉莉·沃卓斯基,木星上行,"动作,科幻,冒险",https://p0.meituan.net/movie/adde77afe8249db7a6830ec19fcb0524346161.jpg@464w_644h_1e_1c,2015-03-06,7.7
1.59亿,"夏永康,杨幂,李易峰,陈数",陈国辉,怦然星动,"爱情,喜剧",https://p0.meituan.net/movie/2d9141835abf22c7b342a70a75f9b7e8182191.jpg@464w_644h_1e_1c,2015-12-03,7.6
3.54亿,"黄斌,黄晓明,杨幂,佟大为",杨文军,何以笙箫默,爱情,https://p1.meituan.net/movie/7f5b8ba11a48acfa71d121b068ecbc1e229199.jpg@464w_644h_1e_1c,2015-04-30,5.4
1228万,"翟子陌,余心恬,马元,付曼",杜潇傲,七月半之恐怖宿舍,"悬疑,惊悚",https://p0.meituan.net/movie/837051c5066f12331e8044b5866f1ca01031604.jpg@464w_644h_1e_1c,2015-08-14,4.7
3.79亿,"李易峰,张慧雯,蒋劲夫,魏大勋",何炅,栀子花开,"剧情,爱情",https://p0.meituan.net/movie/38e2ea5aa1d55bf2eecf352a66575abd188219.jpg@464w_644h_1e_1c,2015-07-10,8.2
4.33亿,"岑俊义,杨颖,王宝强,李晨",胡笳,奔跑吧！兄弟,"喜剧,动作,冒险",https://p0.meituan.net/movie/85f0d9a604e26be5523a848269346697296774.jpg@464w_644h_1e_1c,2015-01-30,5.0
2089万,"小连杀,谢昀杉,郝翔海,王祺",曾宪林,闯堂兔2：疯狂马戏团,"动画,喜剧,冒险",https://p1.meituan.net/movie/3042858c028cbf4252a350d801fdd713369150.jpg@464w_644h_1e_1c,2015-01-01,7.5
1.04亿,"沙尔托·科普雷,忍者,尤兰蒂·维瑟,何塞·巴勃罗·坎蒂略",尼尔·布洛姆坎普,超能查派,"动作,科幻,犯罪",https://p0.meituan.net/movie/dba940a5d7ed4a538315427686994929391308.jpg@464w_644h_1e_1c,2015-05-08,8.4
1.97亿,"迪伦·奥布莱恩,李起弘,卡雅·斯考达里奥,托马斯·布罗迪-桑斯特",韦斯·鲍尔,移动迷宫2,"动作,惊悚,科幻",https://p1.meituan.net/movie/470479b9dba74d9e94acf847bde0838d442057.jpg@464w_644h_1e_1c,2015-11-04,7.9
5256万,"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪,罗里·金奈尔",莫滕·泰杜姆,模仿游戏,"剧情,战争,传记",https://p0.meituan.net/movie/165dd4ffe9c0440a9540eae3026051c1303908.jpg@464w_644h_1e_1c,2015-07-21,9.3
5662万,"罗玉婷,翟巍,孙晔,吴磊",王章俊,赛尔号大电影5：雷神崛起,"动画,剧情,冒险",https://p0.meituan.net/movie/49e35cee764977f070be80af42cfccb1295250.jpg@464w_644h_1e_1c,2015-07-23,8.7
156万,"谭松韵,罗云熙,吴娜",吴娜,最美的时候遇见你,"喜剧,爱情",https://p1.meituan.net/movie/75fc88467555ae17e7113e22d2354bd6380442.jpg@464w_644h_1e_1c,2015-12-11,6.8
1600万,"琪琪,王琪,孙科,叶芳",郑成峰,魔镜奇缘,"动画,冒险,奇幻",https://p1.meituan.net/movie/cbfafe6043a950843bd42714f14fc4f5437749.jpg@464w_644h_1e_1c,2015-09-03,6.1
2001万,"克里斯·海姆斯沃斯,丹尼尔·布鲁尔,奥利维亚·王尔德,亚历山德拉·玛丽亚·拉娜",朗·霍华德,极速风流,"动作,运动,传记",https://p0.meituan.net/movie/40ffc871c73d8ce2be81b55f79728252134805.jpg@464w_644h_1e_1c,2015-12-11,8.4
4696万,"陈柏霖,孙艺珍,乔振宇,申贤俊",孙皓,坏蛋必须死,"悬疑,喜剧,爱情",https://p0.meituan.net/movie/a79bf2d9683633c2b4a62b802ec3be45328367.jpg@464w_644h_1e_1c,2015-11-27,7.9
7325万,"刘亦菲,宋承宪,欧弟,孟佳",李宰汉,第三种爱情,爱情,https://p1.meituan.net/movie/55a48d96801fd557765c39960c00f118288317.jpg@464w_644h_1e_1c,2015-09-25,7.8
