box_office,film_actor,film_director,film_name,film_theme,img,release_time,score
6.18亿,"本·阿弗莱克,亨利·卡维尔,艾米·亚当斯,杰西·艾森伯格",扎克·施奈德,蝙蝠侠大战超人：正义黎明,"动作,科幻,奇幻",https://p0.meituan.net/movie/17c0a2f3dd8cf2caa7d76513cff8fa7c617429.jpg@464w_644h_1e_1c,2016-03-25,8.0
1.73亿,"刘露,任素汐,大力,刘帅良",周申,驴得水,"剧情,喜剧",https://p1.meituan.net/movie/3d69571c94f8ff741c9e3f603f650aaf336399.jpg@464w_644h_1e_1c,2016-10-28,8.5
5.64亿,"张春,季冠霖,苏尚卿,许魏洲",梁旋,大鱼海棠,"剧情,动画,奇幻",https://p0.meituan.net/movie/dbc7ef7ade6ee49ff25bbc7fd7620fd9528767.jpg@464w_644h_1e_1c,2016-07-08,8.4
3.83亿,"范冰冰,吴亦凡,陈学冬,陈伟霆",郭敬明,爵迹,"奇幻,动作,冒险",https://p1.meituan.net/movie/1c9aa3810331787255b48217954b140c330868.jpg@464w_644h_1e_1c,2016-09-30,7.8
12.44亿,"乔·罗素,克里斯·埃文斯,小罗伯特·唐尼,斯嘉丽·约翰逊",安东尼·罗素,美国队长3,"动作,冒险,科幻",https://p0.meituan.net/movie/21ae1816b736d807e124bf9e354ebae8363677.jpg@464w_644h_1e_1c,2016-05-06,8.6
5.91亿,"埃迪·雷德梅恩,凯瑟琳·沃特森,艾莉森·萨多尔,丹·福勒",大卫·叶茨,神奇动物在哪里,"冒险,奇幻,家庭",https://p0.meituan.net/movie/f2820b28cff46c530a1aee47a2c00011274783.jpg@464w_644h_1e_1c,2016-11-25,8.9
15.28亿,"瑞奇·摩尔,金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴",拜伦·霍华德,疯狂动物城,"动画,动作,冒险",https://p0.meituan.net/movie/9c79f4791bff2f85f1fd2a3ab09bc8e9358164.jpg@464w_644h_1e_1c,2016-03-04,9.5
7.50亿,"本尼迪克特·康伯巴奇,切瓦特·埃加福特,瑞秋·麦克亚当斯,本尼迪特·王",斯科特·德瑞克森,奇异博士,"动作,冒险,奇幻",https://p0.meituan.net/movie/c18116a9556080b77710169033e631ab478994.jpg@464w_644h_1e_1c,2016-11-04,8.9
6.58亿,"董旭,肖央,闫妮,小沈阳",宋晓飞,情圣,"喜剧,爱情",https://p0.meituan.net/movie/8bd63a54c2ebcb79fbaa3777e2d72d0c199654.jpg@464w_644h_1e_1c,2016-12-30,8.6
646万,"陈永忠,郭月,余世学,谢理循",毕赣,路边野餐,"剧情,悬疑",https://p1.meituan.net/movie/02cea98d7d1a8d88d1c109592923abf2191502.jpg@464w_644h_1e_1c,2016-07-15,8.1
