box_office,film_actor,film_director,film_name,film_theme,img,release_time,score
25.48亿,"彭大魔,沈腾,宋芸桦,张一鸣",闫非,西虹市首富,喜剧,https://p0.meituan.net/movie/9cf86d0cbd3861c9dbc3f1e3189b32251042527.jpg@464w_644h_1e_1c,2018-07-27,9.2
3015万,"阿米特巴·巴强,里希·卡普尔,达尔曼德拉·吉尔,吉米特·特里韦迪",奥米史·舒克拉,老爸102岁,"喜剧,剧情,家庭",https://p0.meituan.net/movie/91f5f472ef50499bcf36054287ae4224307016.jpg@464w_644h_1e_1c,2018-11-30,8.7
8382万,"苏尚卿,王一博,段艺璇,马斑马",奚超,昨日青空,"剧情,动画",https://p1.meituan.net/movie/a05a03a1b1b6c678eb7ef73a8347f4682641527.jpg@464w_644h_1e_1c,2018-10-26,8.5
4153万,"阿克谢·库玛尔,拉迪卡·艾普特,索娜姆·卡普尔,吉欧迪·萨哈希",R·巴尔基,印度合伙人,"剧情,喜剧,爱情",https://p0.meituan.net/movie/2205b5298f91edc2b072f1dbc8d4e46e5518392.jpg@464w_644h_1e_1c,2018-12-14,9.2
2047万,"斯科特·摩西尔,本尼迪克特·康伯巴奇,卡梅伦·丝蕾,拉什达·琼斯",亚罗·切尼,绿毛怪格林奇,"喜剧,动画,家庭",https://p0.meituan.net/movie/3e073bbe2abbdad57f6768270acbb6d85873182.jpg@464w_644h_1e_1c,2018-12-14,8.7
12.74亿,"周润发,郭富城,张静初,冯文娟",庄文强,无双,"动作,惊悚,犯罪",https://p1.meituan.net/movie/740bd990e4af29d537ce324ec2cd08d6300433.jpg@464w_644h_1e_1c,2018-09-30,8.9
31.00亿,"徐峥,周一围,王传君,谭卓",文牧野,我不是药神,"剧情,喜剧",https://p0.meituan.net/movie/238e2dc36beae55a71cabfc14069fe78236351.jpg@464w_644h_1e_1c,2018-07-05,9.6
1140万,"康斯坦斯·吴,杨紫琼,亨利·戈尔丁,奥卡菲娜",朱浩伟,摘金奇缘,"喜剧,爱情",https://p1.meituan.net/movie/e11fb47d9ce58d57a589563f7c71d3001042027.jpg@464w_644h_1e_1c,2018-11-30,8.3
440万,"任长箴,李安甫,胡兆翠,康昕",程工,生活万岁,纪录片,https://p1.meituan.net/movie/f18a1a371e38920840b315f51e846e271016796.jpg@464w_644h_1e_1c,2018-11-27,9.0
6.29亿,"邓超,孙俪,郑恺,王千源",张艺谋,影,"剧情,动作,古装",https://p1.meituan.net/movie/cac9e6514044986747204c41c0a89f4e725343.jpg@464w_644h_1e_1c,2018-09-30,8.2
2104万,"约翰·赵,米切尔·拉,黛博拉·梅辛,约瑟夫·李",阿尼什·查甘蒂,网络谜踪,"剧情,悬疑,犯罪",https://p0.meituan.net/movie/da4eb7b46debc0ee54ec7b5ff371198c944440.jpg@464w_644h_1e_1c,2018-12-14,8.7
1741万,"徐洪浩,刘一龙,彭士腾,沈浩",宁海强,中国蓝盔,"剧情,动作,战争",https://p1.meituan.net/movie/a97d6686b94347f23119fb6199c48b431446839.jpg@464w_644h_1e_1c,2018-11-23,7.6
